,Unnamed: 0,LOCATION,YEAR,Cooling_degree_days,Heating_degree_days,PDSI,PHDI,Palmer-Z-index,Crop Moisture Stress Index (CMSI),Avg_Temp_Season_1,Avg_Temp_Season_2,Avg_Temp_Season_3,Avg_Temp_Season_4,Max_Temp_Season_1,Max_Temp_Season_2,Max_Temp_Season_3,Max_Temp_Season_4,Min_Temp_Season_1,Min_Temp_Season_2,Min_Temp_Season_3,Min_Temp_Season_4
518,518,SOUTH DAKOTA,2006,835,6938,-0.3216666666666666,-1.4266666666666667,-0.78,14.705,29.3,59.166666666666664,69.06666666666666,35.03333333333333,39.4,73.0,82.66666666666667,47.333333333333336,19.166666666666668,45.333333333333336,55.43333333333334,22.733333333333334
519,519,TENNESSEE,2006,1404,3563,-1.5450000000000002,-1.5450000000000002,-0.25,14.705,44.36666666666667,67.13333333333333,74.8,49.26666666666667,55.26666666666667,79.03333333333333,85.83333333333333,61.13333333333333,33.53333333333333,55.23333333333333,63.73333333333334,37.4
520,520,TEXAS,2006,2999,1525,-2.879166666666667,-4.230833333333333,-1.43,14.705,54.73333333333333,75.73333333333333,80.36666666666666,57.633333333333326,68.66666666666667,89.2,92.3,70.39999999999999,40.800000000000004,62.26666666666667,68.33333333333334,44.866666666666674
521,521,UTAH,2006,560,7049,-0.6308333333333332,0.5291666666666666,-0.18,14.705,32.56666666666666,58.699999999999996,67.6,37.800000000000004,44.1,73.43333333333332,82.10000000000001,49.23333333333334,20.999999999999996,43.93333333333334,53.1,26.366666666666664
522,522,VERMONT,2006,253,7275,3.6066666666666674,3.6066666666666674,1.26,14.705,25.399999999999995,53.36666666666667,63.0,38.46666666666667,34.36666666666667,63.96666666666667,73.6,46.70000000000001,16.46666666666667,42.76666666666667,52.4,30.200000000000003
523,523,VIRGINIA,2006,1086,3944,0.04583333333333342,-0.2516666666666668,0.28,14.705,41.96666666666667,63.26666666666667,72.39999999999999,48.666666666666664,53.133333333333326,75.73333333333333,82.8,60.1,30.8,50.76666666666666,61.96666666666666,37.199999999999996
524,524,WASHINGTON,2006,189,5561,-0.16666666666666666,0.4083333333333334,0.26,14.705,35.83333333333333,52.833333333333336,63.5,37.86666666666667,43.13333333333333,64.36666666666666,77.39999999999999,45.300000000000004,28.53333333333333,41.36666666666667,49.56666666666666,30.46666666666667
525,525,WEST VIRGINIA,2006,723,4818,-0.5566666666666666,-0.8841666666666668,0.0,14.705,37.86666666666667,60.0,68.99999999999999,45.26666666666667,47.833333333333336,72.76666666666667,79.39999999999999,56.1,27.900000000000002,47.26666666666666,58.6,34.4
526,526,WISCONSIN,2006,559,6880,-1.570833333333333,-1.570833333333333,-0.35,14.705,25.899999999999995,56.86666666666667,65.73333333333333,35.46666666666666,34.56666666666667,68.83333333333333,77.13333333333334,43.866666666666674,17.26666666666667,44.9,54.366666666666674,27.099999999999998
527,527,WYOMING,2006,378,7989,-3.440833333333334,-3.440833333333334,-1.5,14.705,26.133333333333336,52.43333333333334,62.166666666666664,31.96666666666667,37.49999999999999,67.46666666666667,77.26666666666667,43.4,14.833333333333334,37.36666666666667,47.03333333333333,20.5
