,LOCATION,YEAR,Cooling_degree_days,Heating_degree_days,PDSI,PHDI,Palmer-Z-index,Crop Moisture Stress Index (CMSI)
287,WYOMING,2001,384,7998,-6.195,-6.195,-2.5,7.81
288,ALABAMA,2002,2055,2768,-0.3366666666666667,-0.3450000000000001,0.1,21.965
289,ARIZONA,2002,3081,2001,-4.6000000000000005,-4.6000000000000005,-1.87,21.965
290,ARKANSAS,2002,1768,3514,0.11333333333333333,1.1058333333333337,0.17,21.965
291,CALIFORNIA,2002,829,2948,-2.185833333333333,-2.720833333333333,-0.85,21.965
292,COLORADO,2002,446,7234,-6.471666666666668,-6.471666666666668,-2.65,21.965
293,CONNECTICUT,2002,617,5699,-0.9041666666666668,-2.285,-0.13,21.965
294,DELAWARE,2002,1249,4257,-1.5033333333333332,-2.0425,-0.03,21.965
295,FLORIDA,2002,3606,685,-0.20416666666666672,-1.0875,0.36,21.965
296,GEORGIA,2002,1862,2818,-1.9725,-3.0224999999999995,-0.35,21.965
297,IDAHO,2002,473,7192,-2.8925,-2.8925,-0.98,21.965
298,ILLINOIS,2002,1025,5991,0.3475000000000001,1.3283333333333334,-0.02,21.965
299,INDIANA,2002,1086,5530,0.6225000000000002,1.9266666666666667,-0.12,21.965
300,IOWA,2002,912,6602,-0.2575,-0.3566666666666667,-0.19,21.965
301,KANSAS,2002,1565,4930,-2.4491666666666667,-2.4491666666666667,-0.98,21.965
302,KENTUCKY,2002,1386,4368,0.995,1.2891666666666668,0.56,21.965
303,LOUISIANA,2002,2664,1802,0.17500000000000004,0.7191666666666667,0.46,21.965
304,MAINE,2002,252,7768,-3.0625,-3.0625,-0.2,21.965
305,MARYLAND,2002,1259,4391,-2.623333333333333,-3.4633333333333334,-0.58,21.965
306,MASSACHUSETTS,2002,546,5965,-1.5541666666666665,-1.8425,0.0,21.965
307,MICHIGAN,2002,703,6665,0.06749999999999985,0.5833333333333333,-0.32,21.965
308,MINNESOTA,2002,533,8480,0.5491666666666666,0.7933333333333333,0.74,21.965
309,MISSISSIPPI,2002,2226,2498,2.2758333333333334,2.2758333333333334,0.85,21.965
310,MISSOURI,2002,1354,5010,-0.07583333333333349,0.5308333333333333,-0.12,21.965
311,MONTANA,2002,191,8970,-4.906666666666667,-4.906666666666667,-1.06,21.965
312,NEBRASKA,2002,1210,6264,-2.78,-2.78,-1.53,21.965
