YEAR,LOCATION,AREA HARVESTED in ACRES,AREA PLANTED in ACRES,PRODUCTION in BU,YIELD in BU / ACRE
2001,ILLINOIS,10620000.0,10700000.0,477900000.0,45.0
2001,INDIANA,5590000.0,5600000.0,273910000.0,49.0
2001,IOWA,10920000.0,11000000.0,480480000.0,44.0
2001,KANSAS,2730000.0,2850000.0,87360000.0,32.0
2001,KENTUCKY,1220000.0,1240000.0,48800000.0,40.0
2001,LOUISIANA,610000.0,640000.0,20130000.0,33.0
2001,MARYLAND,515000.0,520000.0,20085000.0,39.0
2001,MICHIGAN,2130000.0,2150000.0,63900000.0,30.0
2001,MINNESOTA,7200000.0,7300000.0,266400000.0,37.0
2001,MISSISSIPPI,1120000.0,1160000.0,36960000.0,33.0
2001,MISSOURI,4900000.0,4950000.0,186200000.0,38.0
2001,NEBRASKA,4900000.0,4950000.0,222950000.0,45.5
2001,NEW JERSEY,101000.0,103000.0,3131000.0,31.0
2001,NEW YORK,158000.0,160000.0,5214000.0,33.0
2001,NORTH CAROLINA,1350000.0,1380000.0,43200000.0,32.0
2001,NORTH DAKOTA,2110000.0,2150000.0,70685000.0,33.5
2001,OHIO,4580000.0,4600000.0,187780000.0,41.0
2001,OKLAHOMA,255000.0,415000.0,4845000.0,19.0
2001,PENNSYLVANIA,395000.0,400000.0,13825000.0,35.0
2001,SOUTH CAROLINA,420000.0,440000.0,8820000.0,21.0
2001,SOUTH DAKOTA,4470000.0,4500000.0,143040000.0,32.0
2001,TENNESSEE,1040000.0,1070000.0,35360000.0,34.0
2001,TEXAS,225000.0,260000.0,5850000.0,26.0
2001,VIRGINIA,480000.0,500000.0,17040000.0,35.5
2001,WEST VIRGINIA,16000.0,17000.0,672000.0,42.0
2001,WISCONSIN,1570000.0,1600000.0,58090000.0,37.0
2002,ALABAMA,155000.0,170000.0,3720000.0,24.0
2002,ARKANSAS,2880000.0,2950000.0,96480000.0,33.5
2002,DELAWARE,185000.0,190000.0,4625000.0,25.0
2002,FLORIDA,9000.0,10000.0,297000.0,33.0
2002,GEORGIA,140000.0,160000.0,3220000.0,23.0
2002,ILLINOIS,10550000.0,10600000.0,453650000.0,43.0
2002,INDIANA,5770000.0,5800000.0,239455000.0,41.5
2002,IOWA,10400000.0,10450000.0,499200000.0,48.0
2002,KANSAS,2540000.0,2750000.0,58420000.0,23.0
2002,KENTUCKY,1290000.0,1310000.0,42570000.0,33.0
2002,LOUISIANA,660000.0,800000.0,21120000.0,32.0
2002,MARYLAND,470000.0,490000.0,10810000.0,23.0
2002,MICHIGAN,2040000.0,2050000.0,78540000.0,38.5
2002,MINNESOTA,7100000.0,7200000.0,308850000.0,43.5
2002,MISSISSIPPI,1370000.0,1440000.0,43840000.0,32.0
2002,MISSOURI,5000000.0,5050000.0,170000000.0,34.0
2002,NEBRASKA,4580000.0,4700000.0,176330000.0,38.5
2002,NEW JERSEY,97000.0,100000.0,2328000.0,24.0
2002,NEW YORK,144000.0,145000.0,4608000.0,32.0
2002,NORTH CAROLINA,1290000.0,1370000.0,30960000.0,24.0
2002,NORTH DAKOTA,2630000.0,2670000.0,86790000.0,33.0
2002,OHIO,4720000.0,4750000.0,151040000.0,32.0
2002,OKLAHOMA,260000.0,280000.0,6760000.0,26.0
2002,PENNSYLVANIA,390000.0,405000.0,10140000.0,26.0
2002,SOUTH CAROLINA,415000.0,435000.0,7055000.0,17.0
2002,SOUTH DAKOTA,4090000.0,4250000.0,126790000.0,31.0
2002,TENNESSEE,1120000.0,1160000.0,34720000.0,31.0
2002,TEXAS,205000.0,230000.0,5740000.0,28.0
2002,VIRGINIA,460000.0,490000.0,10580000.0,23.0
2002,WEST VIRGINIA,17000.0,18000.0,629000.0,37.0
2002,WISCONSIN,1520000.0,1540000.0,66880000.0,44.0
2003,ALABAMA,160000.0,170000.0,5760000.0,36.0
2003,ARKANSAS,2890000.0,2920000.0,111265000.0,38.5
2003,DELAWARE,178000.0,180000.0,6408000.0,36.0
2003,FLORIDA,12000.0,13000.0,360000.0,30.0
2003,GEORGIA,180000.0,190000.0,6120000.0,34.0
2003,ILLINOIS,10260000.0,10300000.0,379620000.0,37.0
2003,INDIANA,5370000.0,5450000.0,204060000.0,38.0
2003,IOWA,10550000.0,10600000.0,342875000.0,32.5
2003,KANSAS,2480000.0,2600000.0,57040000.0,23.0
2003,KENTUCKY,1240000.0,1250000.0,53940000.0,43.5
2003,LOUISIANA,740000.0,760000.0,25160000.0,34.0
2003,MARYLAND,430000.0,435000.0,15910000.0,37.0
2003,MICHIGAN,1990000.0,2000000.0,54725000.0,27.5
2003,MINNESOTA,7450000.0,7500000.0,238400000.0,32.0
2003,MISSISSIPPI,1430000.0,1440000.0,55770000.0,39.0
2003,MISSOURI,4950000.0,5000000.0,146025000.0,29.5
2003,NEBRASKA,4500000.0,4550000.0,182250000.0,40.5
2003,NEW JERSEY,88000.0,90000.0,2992000.0,34.0
2003,NEW YORK,138000.0,140000.0,4830000.0,35.0
2003,NORTH CAROLINA,1400000.0,1450000.0,42000000.0,30.0
2003,NORTH DAKOTA,3050000.0,3150000.0,88450000.0,29.0
2003,OHIO,4280000.0,4300000.0,164780000.0,38.5
2003,OKLAHOMA,245000.0,270000.0,6370000.0,26.0
2003,PENNSYLVANIA,375000.0,380000.0,15375000.0,41.0
2003,SOUTH CAROLINA,420000.0,430000.0,11760000.0,28.0
2003,SOUTH DAKOTA,4200000.0,4250000.0,115500000.0,27.5
2003,TENNESSEE,1120000.0,1150000.0,47040000.0,42.0
2003,TEXAS,185000.0,200000.0,5365000.0,29.0
2003,VIRGINIA,480000.0,500000.0,16320000.0,34.0
2003,WEST VIRGINIA,15000.0,16000.0,615000.0,41.0
2003,WISCONSIN,1670000.0,1720000.0,46760000.0,28.0
2004,ALABAMA,190000.0,210000.0,6650000.0,35.0
2004,ARKANSAS,3150000.0,3200000.0,122850000.0,39.0
2004,DELAWARE,208000.0,210000.0,8840000.0,42.5
2004,FLORIDA,17000.0,19000.0,578000.0,34.0
2004,GEORGIA,270000.0,280000.0,8370000.0,31.0
2004,ILLINOIS,9900000.0,9950000.0,495000000.0,50.0
2004,INDIANA,5520000.0,5550000.0,284280000.0,51.5
2004,IOWA,10150000.0,10200000.0,497350000.0,49.0
2004,KANSAS,2710000.0,2800000.0,111110000.0,41.0
2004,KENTUCKY,1300000.0,1310000.0,57200000.0,44.0
2004,LOUISIANA,990000.0,1100000.0,32670000.0,33.0
2004,MARYLAND,495000.0,500000.0,21285000.0,43.0
2004,MICHIGAN,1980000.0,2000000.0,75240000.0,38.0
2004,MINNESOTA,7050000.0,7300000.0,232650000.0,33.0
2004,MISSISSIPPI,1640000.0,1670000.0,61500000.0,37.5
2004,MISSOURI,4960000.0,5000000.0,223200000.0,45.0
2004,NEBRASKA,4750000.0,4800000.0,218500000.0,46.0
2004,NEW JERSEY,103000.0,105000.0,4326000.0,42.0
2004,NEW YORK,172000.0,175000.0,6708000.0,39.0
2004,NORTH CAROLINA,1500000.0,1530000.0,51000000.0,34.0
2004,NORTH DAKOTA,3570000.0,3750000.0,82110000.0,23.0
2004,OHIO,4420000.0,4450000.0,207740000.0,47.0
2004,OKLAHOMA,290000.0,320000.0,8700000.0,30.0
2004,PENNSYLVANIA,425000.0,430000.0,19550000.0,46.0
2004,SOUTH CAROLINA,530000.0,540000.0,14310000.0,27.0
2004,SOUTH DAKOTA,4120000.0,4150000.0,140080000.0,34.0
2004,TENNESSEE,1180000.0,1210000.0,48380000.0,41.0
2004,TEXAS,270000.0,290000.0,8640000.0,32.0
2004,VIRGINIA,530000.0,540000.0,20670000.0,39.0
